"age","gender","country","E1","E2","E3","N1","N2","N3","A1","A2","A3","C1","C2","C3","O1","O2","O3","extroversion","neurotocism","agreeableness","conscientiousness","openness"
53,"Female","US",4,4,5,3,5,4,4,4,4,2,5,3,3,4,3,"4, 4, 5","3, 5, 4","4 4 4","2 5 3","3 4 3"
17,"Male","GB",1,2,2,3,3,2,4,4,3,3,5,3,4,5,5,"1, 2, 2","3, 3, 2","4 4 3","3 5 3","4 5 5"
20,"Female","CA",3,3,5,3,4,3,2,5,4,2,3,3,5,4,5,"3, 3, 5","3, 4, 3","2 5 4","2 3 3","5 4 5"
25,"Female","GB",4,4,4,5,5,5,5,5,3,4,4,2,5,1,4,"4, 4, 4","5, 5, 5","5 5 3","4 4 2","5 1 4"
38,"Female","US",4,5,5,5,5,3,5,3,5,4,5,4,5,5,3,"4, 5, 5","5, 5, 3","5 3 5","4 5 4","5 5 3"
17,"Male","CA",2,5,5,3,4,3,5,5,5,4,4,3,4,5,5,"2, 5, 5","3, 4, 3","5 5 5","4 4 3","4 5 5"
22,"Female","US",3,3,3,2,4,4,3,4,3,3,4,4,4,4,4,"3, 3, 3","2, 4, 4","3 4 3","3 4 4","4 4 4"
20,"Female","GB",2,4,3,2,2,1,4,2,3,4,3,2,2,4,3,"2, 4, 3","2, 2, 1","4 2 3","4 3 2","2 4 3"
32,"Male","GB",2,4,3,2,1,1,5,2,4,4,4,2,4,4,4,"2, 4, 3","2, 1, 1","5 2 4","4 4 2","4 4 4"
52,"Female","US",4,5,5,3,5,2,5,4,5,3,4,5,5,4,5,"4, 5, 5","3, 5, 2","5 4 5","3 4 5","5 4 5"
28,"Female","IN",3,4,3,3,4,2,4,4,5,1,4,2,4,4,3,"3, 4, 3","3, 4, 2","4 4 5","1 4 2","4 4 3"
20,"Male","IN",5,5,4,5,4,4,5,4,3,3,3,3,4,4,4,"5, 5, 4","5, 4, 4","5 4 3","3 3 3","4 4 4"
25,"Male","US",4,5,5,4,4,4,5,4,4,2,2,3,5,4,5,"4, 5, 5","4, 4, 4","5 4 4","2 2 3","5 4 5"
18,"Male","IE",1,2,1,3,4,3,4,4,2,2,3,4,4,3,4,"1, 2, 1","3, 4, 3","4 4 2","2 3 4","4 3 4"
28,"Female","NZ",3,5,5,4,5,4,5,5,5,4,4,4,3,4,4,"3, 5, 5","4, 5, 4","5 5 5","4 4 4","3 4 4"
15,"Female","US",3,3,3,4,2,5,2,4,3,5,3,2,4,4,4,"3, 3, 3","4, 2, 5","2 4 3","5 3 2","4 4 4"
21,"Female","DE",1,3,5,3,4,5,3,4,3,4,4,5,4,4,5,"1, 3, 5","3, 4, 5","3 4 3","4 4 5","4 4 5"
29,"Female","US",3,4,5,4,4,5,4,5,4,4,4,4,4,4,4,"3, 4, 5","4, 4, 5","4 5 4","4 4 4","4 4 4"
14,"Female","US",1,2,2,5,5,4,2,3,3,4,3,2,4,2,3,"1, 2, 2","5, 5, 4","2 3 3","4 3 2","4 2 3"
14,"Female","US",4,4,4,2,2,3,5,5,4,4,5,1,5,5,2,"4, 4, 4","2, 2, 3","5 5 4","4 5 1","5 5 2"
14,"Female","US",3,3,3,5,5,4,2,3,3,4,5,4,5,4,3,"3, 3, 3","5, 5, 4","2 3 3","4 5 4","5 4 3"
18,"Male","GB",3,2,3,3,3,1,3,4,4,3,3,3,4,4,3,"3, 2, 3","3, 3, 1","3 4 4","3 3 3","4 4 3"
33,"Female","GR",1,2,2,1,5,1,3,5,4,1,3,1,5,4,5,"1, 2, 2","1, 5, 1","3 5 4","1 3 1","5 4 5"
17,"Female","US",2,2,2,3,3,2,5,5,4,3,3,2,5,5,5,"2, 2, 2","3, 3, 2","5 5 4","3 3 2","5 5 5"
59,"Female","CA",5,5,5,3,3,2,5,5,5,3,1,5,5,5,5,"5, 5, 5","3, 3, 2","5 5 5","3 1 5","5 5 5"
17,"Male","US",5,3,4,4,5,1,4,4,4,2,3,3,5,5,5,"5, 3, 4","4, 5, 1","4 4 4","2 3 3","5 5 5"
63,"Male","US",3,2,2,5,3,3,4,4,4,4,5,2,4,5,5,"3, 2, 2","5, 3, 3","4 4 4","4 5 2","4 5 5"
54,"Female","US",1,2,5,4,4,4,5,5,4,1,4,3,5,2,4,"1, 2, 5","4, 4, 4","5 5 4","1 4 3","5 2 4"
27,"Male","RS",2,3,4,2,4,2,5,3,4,3,4,2,5,5,5,"2, 3, 4","2, 4, 2","5 3 4","3 4 2","5 5 5"
19,"Female","US",2,3,3,4,5,2,5,5,4,2,4,3,4,4,2,"2, 3, 3","4, 5, 2","5 5 4","2 4 3","4 4 2"
16,"Female","US",2,2,2,5,5,4,2,2,2,4,1,5,2,4,2,"2, 2, 2","5, 5, 4","2 2 2","4 1 5","2 4 2"
17,"Male","US",2,3,4,1,1,1,3,3,3,2,4,2,5,5,5,"2, 3, 4","1, 1, 1","3 3 3","2 4 2","5 5 5"
27,"Female","GR",3,4,3,3,4,5,5,5,3,3,3,3,5,5,5,"3, 4, 3","3, 4, 5","5 5 3","3 3 3","5 5 5"
20,"Female","US",4,4,4,5,5,4,5,5,5,4,5,5,5,3,4,"4, 4, 4","5, 5, 4","5 5 5","4 5 5","5 3 4"
20,"Female","US",3,4,4,4,4,3,4,4,4,2,3,3,5,4,4,"3, 4, 4","4, 4, 3","4 4 4","2 3 3","5 4 4"
21,"Female","US",3,5,5,4,4,1,5,5,5,4,5,3,4,4,4,"3, 5, 5","4, 4, 1","5 5 5","4 5 3","4 4 4"
25,"Female","US",4,3,5,4,4,4,5,5,3,4,4,4,5,5,5,"4, 3, 5","4, 4, 4","5 5 3","4 4 4","5 5 5"
17,"Female","US",1,1,1,3,3,2,2,1,4,1,4,2,5,5,2,"1, 1, 1","3, 3, 2","2 1 4","1 4 2","5 5 2"
56,"Female","AU",4,4,4,3,3,2,3,4,5,3,2,3,4,4,5,"4, 4, 4","3, 3, 2","3 4 5","3 2 3","4 4 5"
34,"Male","GB",4,5,5,2,3,2,5,5,5,4,4,4,5,4,5,"4, 5, 5","2, 3, 2","5 5 5","4 4 4","5 4 5"
13,"Female","US",4,4,4,1,5,5,4,5,4,3,5,3,4,4,4,"4, 4, 4","1, 5, 5","4 5 4","3 5 3","4 4 4"
31,"Male","US",2,3,3,1,3,2,5,5,4,3,4,4,5,5,4,"2, 3, 3","1, 3, 2","5 5 4","3 4 4","5 5 4"
19,"Female","CA",2,4,3,2,5,2,5,5,5,3,3,3,5,5,4,"2, 4, 3","2, 5, 2","5 5 5","3 3 3","5 5 4"
54,"Female","US",3,2,3,5,5,5,3,5,3,3,3,3,4,3,3,"3, 2, 3","5, 5, 5","3 5 3","3 3 3","4 3 3"
25,"Female","GB",4,5,5,5,5,1,5,5,5,2,4,1,5,5,5,"4, 5, 5","5, 5, 1","5 5 5","2 4 1","5 5 5"
15,"Female","US",1,2,3,5,5,5,1,4,3,2,2,4,3,4,4,"1, 2, 3","5, 5, 5","1 4 3","2 2 4","3 4 4"
25,"Female","NZ",3,5,5,4,4,1,4,5,4,5,5,5,4,5,4,"3, 5, 5","4, 4, 1","4 5 4","5 5 5","4 5 4"
32,"Female","US",1,2,3,5,5,3,5,5,3,4,5,5,5,5,5,"1, 2, 3","5, 5, 3","5 5 3","4 5 5","5 5 5"
24,"Female","US",4,5,5,5,5,3,4,5,4,5,5,5,3,5,4,"4, 5, 5","5, 5, 3","4 5 4","5 5 5","3 5 4"
23,"Female","US",5,5,5,3,4,2,5,5,5,4,4,4,4,4,4,"5, 5, 5","3, 4, 2","5 5 5","4 4 4","4 4 4"
39,"Female","US",4,2,5,5,5,4,5,5,5,2,5,4,5,5,5,"4, 2, 5","5, 5, 4","5 5 5","2 5 4","5 5 5"
25,"Male","IE",4,4,4,3,3,3,4,4,3,2,3,1,4,4,3,"4, 4, 4","3, 3, 3","4 4 3","2 3 1","4 4 3"
25,"Female","HR",4,3,4,3,5,3,5,5,5,3,5,3,5,5,5,"4, 3, 4","3, 5, 3","5 5 5","3 5 3","5 5 5"
43,"Male","US",2,3,4,2,3,2,4,2,2,4,5,4,4,5,5,"2, 3, 4","2, 3, 2","4 2 2","4 5 4","4 5 5"
38,"Female","US",3,5,5,2,3,2,3,3,3,4,5,3,4,4,4,"3, 5, 5","2, 3, 2","3 3 3","4 5 3","4 4 4"
21,"Female","US",4,3,2,5,4,4,4,5,4,4,4,4,4,5,4,"4, 3, 2","5, 4, 4","4 5 4","4 4 4","4 5 4"
18,"Female","US",2,3,4,5,5,4,4,5,4,3,3,4,4,3,5,"2, 3, 4","5, 5, 4","4 5 4","3 3 4","4 3 5"
24,"Female","US",3,5,5,4,5,4,5,4,4,4,2,4,5,5,4,"3, 5, 5","4, 5, 4","5 4 4","4 2 4","5 5 4"
26,"Female","US",4,4,4,4,4,2,4,5,5,3,5,3,2,5,4,"4, 4, 4","4, 4, 2","4 5 5","3 5 3","2 5 4"
47,"Female","US",3,3,4,4,4,3,5,5,4,2,2,2,4,4,5,"3, 3, 4","4, 4, 3","5 5 4","2 2 2","4 4 5"
45,"Male","US",4,4,4,1,1,1,3,2,4,4,4,3,5,4,4,"4, 4, 4","1, 1, 1","3 2 4","4 4 3","5 4 4"
52,"Male","CA",3,4,3,4,5,4,3,4,3,5,4,4,5,4,5,"3, 4, 3","4, 5, 4","3 4 3","5 4 4","5 4 5"
45,"Female","US",3,4,4,4,4,3,3,4,4,3,4,3,3,5,4,"3, 4, 4","4, 4, 3","3 4 4","3 4 3","3 5 4"
38,"Male","US",5,5,5,1,4,1,5,5,5,5,5,5,5,5,5,"5, 5, 5","1, 4, 1","5 5 5","5 5 5","5 5 5"
35,"Female","US",3,5,5,3,3,3,4,3,5,5,4,5,3,5,3,"3, 5, 5","3, 3, 3","4 3 5","5 4 5","3 5 3"
53,"Male","US",2,3,3,3,3,2,4,5,3,4,4,5,3,5,3,"2, 3, 3","3, 3, 2","4 5 3","4 4 5","3 5 3"
45,"Female","AU",1,3,1,3,3,1,3,3,3,4,5,5,3,4,3,"1, 3, 1","3, 3, 1","3 3 3","4 5 5","3 4 3"
38,"Female","US",2,4,2,4,4,3,4,4,4,3,2,2,5,4,5,"2, 4, 2","4, 4, 3","4 4 4","3 2 2","5 4 5"
26,"Female","US",4,5,4,2,3,2,4,5,5,3,5,4,4,5,4,"4, 5, 4","2, 3, 2","4 5 5","3 5 4","4 5 4"
18,"Female","US",2,5,4,4,5,5,5,5,5,2,4,2,5,4,5,"2, 5, 4","4, 5, 5","5 5 5","2 4 2","5 4 5"
16,"Female","US",1,2,3,5,5,2,4,4,4,2,4,2,4,4,4,"1, 2, 3","5, 5, 2","4 4 4","2 4 2","4 4 4"
20,"Female","PH",3,4,4,4,4,2,4,4,4,3,4,4,3,3,3,"3, 4, 4","4, 4, 2","4 4 4","3 4 4","3 3 3"
54,"Male","AU",5,5,5,1,5,1,5,5,5,1,5,5,5,5,5,"5, 5, 5","1, 5, 1","5 5 5","1 5 5","5 5 5"
18,"Female","US",3,3,5,4,4,3,5,5,5,4,3,5,5,5,5,"3, 3, 5","4, 4, 3","5 5 5","4 3 5","5 5 5"
15,"Female","US",1,3,3,3,5,3,5,4,3,4,5,3,5,5,5,"1, 3, 3","3, 5, 3","5 4 3","4 5 3","5 5 5"
25,"Female","US",3,4,4,3,4,2,4,5,4,4,4,3,3,4,3,"3, 4, 4","3, 4, 2","4 5 4","4 4 3","3 4 3"
40,"Male","NL",2,2,1,3,4,4,3,4,2,5,4,4,4,4,3,"2, 2, 1","3, 4, 4","3 4 2","5 4 4","4 4 3"
35,"Female","US",3,4,5,2,3,3,4,4,5,4,5,5,2,4,5,"3, 4, 5","2, 3, 3","4 4 5","4 5 5","2 4 5"
23,"Male","DE",1,1,4,2,4,1,2,2,3,4,4,4,5,5,5,"1, 1, 4","2, 4, 1","2 2 3","4 4 4","5 5 5"
15,"Male","ID",3,5,4,2,2,3,4,4,4,4,4,5,3,4,3,"3, 5, 4","2, 2, 3","4 4 4","4 4 5","3 4 3"
25,"Female","US",3,4,2,5,5,4,4,3,4,1,4,2,5,4,5,"3, 4, 2","5, 5, 4","4 3 4","1 4 2","5 4 5"
18,"Female","PH",5,5,5,1,4,2,5,5,5,3,4,4,5,3,5,"5, 5, 5","1, 4, 2","5 5 5","3 4 4","5 3 5"
19,"Female","PH",3,2,3,5,3,4,3,5,1,4,4,3,5,5,5,"3, 2, 3","5, 3, 4","3 5 1","4 4 3","5 5 5"
17,"Female","CA",2,3,3,4,4,3,5,4,3,3,3,3,4,4,4,"2, 3, 3","4, 4, 3","5 4 3","3 3 3","4 4 4"
21,"Female","US",3,4,4,5,5,2,4,5,4,1,4,3,4,3,4,"3, 4, 4","5, 5, 2","4 5 4","1 4 3","4 3 4"
21,"Female","MY",2,3,4,4,3,2,3,5,3,4,3,2,3,3,2,"2, 3, 4","4, 3, 2","3 5 3","4 3 2","3 3 2"
42,"Female","US",1,1,1,4,5,4,2,2,1,1,1,1,1,5,1,"1, 1, 1","4, 5, 4","2 2 1","1 1 1","1 5 1"
37,"Male","TH",2,3,1,4,3,4,3,5,3,4,3,4,2,4,3,"2, 3, 1","4, 3, 4","3 5 3","4 3 4","2 4 3"
33,"Female","PH",1,2,5,3,5,1,3,5,5,4,5,5,3,1,3,"1, 2, 5","3, 5, 1","3 5 5","4 5 5","3 1 3"
20,"Female","IN",1,1,1,3,4,5,4,3,2,3,5,3,5,3,3,"1, 1, 1","3, 4, 5","4 3 2","3 5 3","5 3 3"
19,"Male","PK",4,5,5,5,4,1,3,4,4,3,5,4,2,5,4,"4, 5, 5","5, 4, 1","3 4 4","3 5 4","2 5 4"
19,"Female","US",1,3,3,4,4,4,5,5,5,3,5,2,5,4,5,"1, 3, 3","4, 4, 4","5 5 5","3 5 2","5 4 5"
18,"Female","US",4,4,4,2,3,2,4,4,3,4,3,2,4,4,5,"4, 4, 4","2, 3, 2","4 4 3","4 3 2","4 4 5"
20,"Female","AU",2,2,4,4,4,4,4,4,3,4,4,2,4,3,4,"2, 2, 4","4, 4, 4","4 4 3","4 4 2","4 3 4"
49,"Female","US",1,2,2,4,5,3,3,2,2,1,3,1,5,2,5,"1, 2, 2","4, 5, 3","3 2 2","1 3 1","5 2 5"
45,"Female","US",3,5,3,1,1,1,5,5,5,4,5,4,3,5,5,"3, 5, 3","1, 1, 1","5 5 5","4 5 4","3 5 5"
16,"Female","US",5,5,5,3,4,4,5,3,3,5,4,5,5,4,5,"5, 5, 5","3, 4, 4","5 3 3","5 4 5","5 4 5"
26,"Female","IN",2,3,1,4,5,2,2,4,4,2,5,1,4,4,1,"2, 3, 1","4, 5, 2","2 4 4","2 5 1","4 4 1"
20,"Female","IN",2,5,5,5,5,5,4,3,5,3,2,2,5,4,4,"2, 5, 5","5, 5, 5","4 3 5","3 2 2","5 4 4"
27,"Female","DK",1,3,3,3,4,1,5,4,3,5,3,3,4,5,4,"1, 3, 3","3, 4, 1","5 4 3","5 3 3","4 5 4"
20,"Male","US",4,2,2,2,3,1,5,1,2,4,4,2,5,5,5,"4, 2, 2","2, 3, 1","5 1 2","4 4 2","5 5 5"
18,"Female","US",3,3,4,2,4,2,5,5,2,2,4,3,5,5,5,"3, 3, 4","2, 4, 2","5 5 2","2 4 3","5 5 5"
20,"Female","PH",1,2,2,4,3,4,3,2,3,3,3,2,3,4,3,"1, 2, 2","4, 3, 4","3 2 3","3 3 2","3 4 3"
16,"Female","US",4,4,4,2,3,2,4,4,4,4,3,4,4,5,5,"4, 4, 4","2, 3, 2","4 4 4","4 3 4","4 5 5"
22,"Female","DE",2,2,3,4,5,4,3,5,3,4,5,1,3,2,4,"2, 2, 3","4, 5, 4","3 5 3","4 5 1","3 2 4"
22,"Male","BD",4,3,2,2,2,1,1,4,3,3,4,3,5,4,5,"4, 3, 2","2, 2, 1","1 4 3","3 4 3","5 4 5"
13,"Male","SG",1,4,2,4,5,1,4,4,3,3,4,1,4,5,5,"1, 4, 2","4, 5, 1","4 4 3","3 4 1","4 5 5"
25,"Female","HU",2,4,5,5,5,5,5,5,5,2,4,3,5,3,5,"2, 4, 5","5, 5, 5","5 5 5","2 4 3","5 3 5"
23,"Female","US",3,3,2,4,5,4,4,5,2,1,2,1,1,2,2,"3, 3, 2","4, 5, 4","4 5 2","1 2 1","1 2 2"
43,"Female","PH",3,4,5,5,2,4,5,5,4,4,3,5,4,4,4,"3, 4, 5","5, 2, 4","5 5 4","4 3 5","4 4 4"
27,"Male","FI",2,5,4,4,5,3,5,5,4,4,5,1,5,5,5,"2, 5, 4","4, 5, 3","5 5 4","4 5 1","5 5 5"
25,"Female","GB",3,3,4,5,5,3,5,4,3,4,4,5,4,3,3,"3, 3, 4","5, 5, 3","5 4 3","4 4 5","4 3 3"
27,"Female","GB",3,3,4,4,5,5,5,5,5,3,5,5,5,4,5,"3, 3, 4","4, 5, 5","5 5 5","3 5 5","5 4 5"
18,"Female","GB",2,4,4,5,5,5,4,4,3,4,5,2,4,4,4,"2, 4, 4","5, 5, 5","4 4 3","4 5 2","4 4 4"
20,"Female","GB",4,3,4,4,4,5,3,5,3,2,3,1,2,1,3,"4, 3, 4","4, 4, 5","3 5 3","2 3 1","2 1 3"
19,"Female","GB",1,4,4,3,5,5,4,5,5,4,5,4,5,3,4,"1, 4, 4","3, 5, 5","4 5 5","4 5 4","5 3 4"
18,"Female","GB",4,4,4,3,3,2,4,4,4,3,4,4,3,4,3,"4, 4, 4","3, 3, 2","4 4 4","3 4 4","3 4 3"
20,"Female","GB",3,5,4,1,2,4,2,3,5,3,3,2,2,3,4,"3, 5, 4","1, 2, 4","2 3 5","3 3 2","2 3 4"
18,"Female","GB",2,3,2,4,4,5,3,5,3,2,4,2,5,4,5,"2, 3, 2","4, 4, 5","3 5 3","2 4 2","5 4 5"
18,"Female","GB",2,2,3,5,4,4,3,4,3,3,5,2,4,3,3,"2, 2, 3","5, 4, 4","3 4 3","3 5 2","4 3 3"
24,"Unanswered","US",5,3,4,3,3,3,4,2,3,2,5,2,5,5,3,"5, 3, 4","3, 3, 3","4 2 3","2 5 2","5 5 3"
36,"Male","PH",4,5,4,4,4,3,4,3,4,3,2,3,4,4,4,"4, 5, 4","4, 4, 3","4 3 4","3 2 3","4 4 4"
26,"Female","PH",2,1,3,4,4,5,4,4,2,4,4,3,4,4,3,"2, 1, 3","4, 4, 5","4 4 2","4 4 3","4 4 3"
30,"Female","GB",2,1,1,3,4,1,3,3,4,2,3,2,5,4,1,"2, 1, 1","3, 4, 1","3 3 4","2 3 2","5 4 1"
28,"Female","PH",1,5,5,1,4,2,4,5,4,5,5,5,4,5,5,"1, 5, 5","1, 4, 2","4 5 4","5 5 5","4 5 5"
19,"Male","GB",3,5,4,4,4,3,4,4,3,4,3,4,3,4,3,"3, 5, 4","4, 4, 3","4 4 3","4 3 4","3 4 3"
21,"Female","AU",5,4,4,4,4,3,4,4,3,3,4,4,4,4,4,"5, 4, 4","4, 4, 3","4 4 3","3 4 4","4 4 4"
26,"Female","US",3,3,3,2,2,2,3,3,4,4,2,3,4,4,4,"3, 3, 3","2, 2, 2","3 3 4","4 2 3","4 4 4"
22,"Male","IN",3,5,5,5,4,5,5,5,5,4,5,1,1,5,5,"3, 5, 5","5, 4, 5","5 5 5","4 5 1","1 5 5"
24,"Female","LB",5,5,5,1,4,2,5,5,5,1,4,1,5,5,5,"5, 5, 5","1, 4, 2","5 5 5","1 4 1","5 5 5"
17,"Female","PH",4,3,4,2,3,1,4,4,5,4,5,5,4,4,5,"4, 3, 4","2, 3, 1","4 4 5","4 5 5","4 4 5"
19,"Female","GB",4,4,4,5,5,3,4,4,4,3,2,1,3,2,4,"4, 4, 4","5, 5, 3","4 4 4","3 2 1","3 2 4"
18,"Female","GB",2,4,4,3,5,3,4,5,5,4,5,4,5,4,4,"2, 4, 4","3, 5, 3","4 5 5","4 5 4","5 4 4"
19,"Female","PH",3,4,5,3,3,2,3,4,3,4,4,5,4,4,4,"3, 4, 5","3, 3, 2","3 4 3","4 4 5","4 4 4"
34,"Female","AU",4,4,4,2,3,2,5,5,5,3,4,1,3,5,4,"4, 4, 4","2, 3, 2","5 5 5","3 4 1","3 5 4"
21,"Female","PH",2,2,3,3,4,3,3,4,4,4,4,5,3,3,3,"2, 2, 3","3, 4, 3","3 4 4","4 4 5","3 3 3"
17,"Male","GB",3,2,1,5,5,5,5,5,5,4,5,4,5,5,5,"3, 2, 1","5, 5, 5","5 5 5","4 5 4","5 5 5"
1989,"Female","IN",3,5,3,2,5,2,4,4,5,3,5,4,2,3,4,"3, 5, 3","2, 5, 2","4 4 5","3 5 4","2 3 4"
50,"Male","FI",4,5,5,2,4,2,5,5,4,1,2,4,5,4,5,"4, 5, 5","2, 4, 2","5 5 4","1 2 4","5 4 5"
24,"Male","IN",3,2,4,3,3,4,5,4,3,4,5,5,5,5,4,"3, 2, 4","3, 3, 4","5 4 3","4 5 5","5 5 4"
30,"Male","IN",1,5,5,4,4,3,5,3,5,3,3,5,5,3,5,"1, 5, 5","4, 4, 3","5 3 5","3 3 5","5 3 5"
20,"Male","PH",2,2,1,4,4,2,2,4,4,4,5,2,2,5,2,"2, 2, 1","4, 4, 2","2 4 4","4 5 2","2 5 2"
18,"Female","GB",2,3,3,2,4,4,2,4,4,1,4,1,5,4,3,"2, 3, 3","2, 4, 4","2 4 4","1 4 1","5 4 3"
15,"Male","PH",2,2,3,5,4,4,2,3,4,2,5,2,4,4,4,"2, 2, 3","5, 4, 4","2 3 4","2 5 2","4 4 4"
19,"Female","PH",2,3,3,4,3,4,3,4,3,2,3,3,4,3,3,"2, 3, 3","4, 3, 4","3 4 3","2 3 3","4 3 3"
14,"Female","GB",2,2,1,4,4,4,2,3,3,2,4,1,5,4,5,"2, 2, 1","4, 4, 4","2 3 3","2 4 1","5 4 5"
73,"Male","AU",2,4,4,5,4,4,5,5,4,5,4,4,4,4,4,"2, 4, 4","5, 4, 4","5 5 4","5 4 4","4 4 4"
24,"Female","PK",1,5,5,1,4,5,5,5,5,2,5,2,5,4,4,"1, 5, 5","1, 4, 5","5 5 5","2 5 2","5 4 4"
33,"Male","AU",3,3,4,2,4,3,2,4,5,2,4,3,4,5,4,"3, 3, 4","2, 4, 3","2 4 5","2 4 3","4 5 4"
40,"Male","US",3,3,2,4,5,3,3,3,4,5,3,2,4,2,3,"3, 3, 2","4, 5, 3","3 3 4","5 3 2","4 2 3"
30,"Male","NG",3,3,3,4,4,2,5,4,5,4,4,2,3,4,4,"3, 3, 3","4, 4, 2","5 4 5","4 4 2","3 4 4"
1997,"Female","US",2,4,3,2,5,5,5,4,5,4,5,3,5,5,4,"2, 4, 3","2, 5, 5","5 4 5","4 5 3","5 5 4"
21,"Female","IN",5,5,5,1,1,1,5,5,5,1,1,5,1,5,5,"5, 5, 5","1, 1, 1","5 5 5","1 1 5","1 5 5"
18,"Male","GB",2,4,4,2,2,2,4,4,4,4,4,4,2,4,3,"2, 4, 4","2, 2, 2","4 4 4","4 4 4","2 4 3"
34,"Male","DE",4,5,3,1,4,1,4,4,5,4,4,4,3,5,5,"4, 5, 3","1, 4, 1","4 4 5","4 4 4","3 5 5"
32,"Female","PH",3,5,4,3,5,3,5,5,5,5,5,5,5,5,5,"3, 5, 4","3, 5, 3","5 5 5","5 5 5","5 5 5"
21,"Female","US",4,4,4,4,5,2,5,5,5,4,4,3,5,4,5,"4, 4, 4","4, 5, 2","5 5 5","4 4 3","5 4 5"
57,"Male","TH",1,3,3,4,3,3,4,4,4,3,4,4,5,4,4,"1, 3, 3","4, 3, 3","4 4 4","3 4 4","5 4 4"
18,"Male","GB",3,5,3,1,2,2,5,4,4,2,4,5,5,3,3,"3, 5, 3","1, 2, 2","5 4 4","2 4 5","5 3 3"
18,"Male","GB",4,5,4,5,5,1,5,4,4,3,4,4,3,4,4,"4, 5, 4","5, 5, 1","5 4 4","3 4 4","3 4 4"
45,"Female","US",4,4,4,5,5,3,5,5,4,3,4,4,5,5,5,"4, 4, 4","5, 5, 3","5 5 4","3 4 4","5 5 5"
47,"Male","IN",1,3,5,5,4,1,3,5,4,4,5,5,4,4,4,"1, 3, 5","5, 4, 1","3 5 4","4 5 5","4 4 4"
32,"Male","DE",3,4,3,2,3,2,4,3,3,3,3,3,4,4,5,"3, 4, 3","2, 3, 2","4 3 3","3 3 3","4 4 5"
42,"Male","US",3,5,5,2,4,3,5,4,5,4,4,3,5,5,5,"3, 5, 5","2, 4, 3","5 4 5","4 4 3","5 5 5"
19,"Female","GB",5,5,5,5,5,4,4,5,5,2,2,2,5,2,3,"5, 5, 5","5, 5, 4","4 5 5","2 2 2","5 2 3"
20,"Female","PH",1,4,3,2,3,4,4,4,4,3,3,3,3,4,3,"1, 4, 3","2, 3, 4","4 4 4","3 3 3","3 4 3"
17,"Female","NL",3,4,4,4,4,2,4,4,3,3,3,2,4,5,4,"3, 4, 4","4, 4, 2","4 4 3","3 3 2","4 5 4"
16,"Female","NL",4,2,3,5,4,4,5,3,3,2,5,3,5,2,4,"4, 2, 3","5, 4, 4","5 3 3","2 5 3","5 2 4"
22,"Female","PH",4,2,3,5,5,5,3,3,2,2,3,1,5,3,2,"4, 2, 3","5, 5, 5","3 3 2","2 3 1","5 3 2"
16,"Female","SG",1,3,3,5,4,5,4,4,3,1,2,1,4,4,4,"1, 3, 3","5, 4, 5","4 4 3","1 2 1","4 4 4"
14,"Female","US",4,3,5,5,4,4,3,4,2,3,4,4,5,3,3,"4, 3, 5","5, 4, 4","3 4 2","3 4 4","5 3 3"
17,"Female","PK",1,1,1,5,5,5,5,5,5,4,4,4,1,4,4,"1, 1, 1","5, 5, 5","5 5 5","4 4 4","1 4 4"
17,"Male","AU",1,2,4,3,4,3,4,2,2,5,2,5,1,4,4,"1, 2, 4","3, 4, 3","4 2 2","5 2 5","1 4 4"
14,"Male","SG",3,3,3,3,4,1,4,4,3,2,5,2,5,3,5,"3, 3, 3","3, 4, 1","4 4 3","2 5 2","5 3 5"
23,"Male","IN",4,1,1,5,5,5,1,5,5,1,1,1,5,5,4,"4, 1, 1","5, 5, 5","1 5 5","1 1 1","5 5 4"
14,"Female","US",3,4,4,4,4,5,4,3,3,4,4,2,4,4,5,"3, 4, 4","4, 4, 5","4 3 3","4 4 2","4 4 5"
14,"Female","US",4,4,5,3,4,3,5,4,3,4,5,2,5,3,5,"4, 4, 5","3, 4, 3","5 4 3","4 5 2","5 3 5"
42,"Male","US",3,5,5,2,3,2,4,5,5,4,5,5,5,5,5,"3, 5, 5","2, 3, 2","4 5 5","4 5 5","5 5 5"
14,"Female","US",1,4,1,5,5,2,4,5,4,4,5,3,4,4,5,"1, 4, 1","5, 5, 2","4 5 4","4 5 3","4 4 5"
14,"Female","US",5,5,5,2,5,2,5,5,4,3,5,4,5,5,5,"5, 5, 5","2, 5, 2","5 5 4","3 5 4","5 5 5"
32,"Female","US",2,4,3,2,3,2,4,4,4,4,4,4,4,4,4,"2, 4, 3","2, 3, 2","4 4 4","4 4 4","4 4 4"
26,"Female","AU",3,3,4,3,4,4,5,5,3,3,4,3,3,3,2,"3, 3, 4","3, 4, 4","5 5 3","3 4 3","3 3 2"
30,"Female","IE",2,4,4,2,4,2,5,5,4,4,5,4,4,5,4,"2, 4, 4","2, 4, 2","5 5 4","4 5 4","4 5 4"
16,"Female","US",3,5,5,2,2,2,5,3,3,4,4,5,3,4,5,"3, 5, 5","2, 2, 2","5 3 3","4 4 5","3 4 5"
16,"Other","US",1,4,5,4,4,2,4,5,3,3,5,2,5,5,5,"1, 4, 5","4, 4, 2","4 5 3","3 5 2","5 5 5"
16,"Female","US",4,5,5,2,2,2,5,5,5,3,4,3,5,4,5,"4, 5, 5","2, 2, 2","5 5 5","3 4 3","5 4 5"
